borrower_id,loan_amount,credit_score,annual_income,dti_ratio,employment_length_years,num_existing_loans,account_age_months,declared_purpose,primary_mcc_category,secondary_mcc_category,mcc_mismatch_flag,days_to_first_tx,pct_spent_48h,pct_spent_7d,cash_withdrawal_ratio,high_risk_spend_ratio,international_tx_ratio,nighttime_tx_ratio,num_unique_merchants,num_total_transactions,avg_tx_amount,max_single_tx_pct,is_flagged_misuse
BW-00022,18251.92,826,49843.19,0.367,1,0,37,Debt Consolidation,Casino,ATM Cash,0,28,0.541,0.675,0.255,0.727,0.332,0.484,6,11,1520.99,0.239,0
BW-00023,32753.74,753,176638.49,0.363,14,2,53,Debt Consolidation,Casino,Crypto Exchange,0,5,0.794,1.0,0.255,0.536,0.214,0.586,20,35,909.83,0.283,0
BW-00024,39804.38,743,117394.3,0.359,11,3,63,Equipment Purchase,Casino,Equipment Vendor,1,25,0.61,0.637,0.264,0.893,0.473,0.046,19,30,1284.01,0.588,1
BW-00025,48326.65,718,179321.12,0.197,6,2,103,Education,Equipment Vendor,Equipment Vendor,0,26,0.575,0.633,0.402,0.065,0.13,0.563,10,24,1933.07,0.532,0
BW-00026,79591.72,701,166727.21,0.18,19,6,11,Debt Consolidation,Casino,Equipment Vendor,0,2,0.681,0.9,0.226,0.459,0.314,0.216,14,20,3790.08,0.543,0
BW-00027,23969.01,584,63227.59,0.24,17,5,78,Debt Consolidation,Equipment Vendor,Retail,0,27,0.34,0.365,0.356,0.005,0.306,0.565,5,6,3424.14,0.571,0
BW-00028,53852.27,733,38424.3,0.603,22,6,23,Debt Consolidation,Casino,Crypto Exchange,0,4,0.362,0.714,0.294,0.753,0.141,0.389,12,23,2243.84,0.907,0
BW-00029,61279.38,835,68345.86,0.162,12,3,117,Equipment Purchase,Luxury Travel,Retail,1,8,0.314,0.371,0.588,0.112,0.206,0.534,19,38,1571.27,0.146,0
BW-00030,9412.79,606,109134.55,0.517,16,6,80,Equipment Purchase,Luxury Travel,Casino,1,23,0.712,0.982,0.483,0.114,0.183,0.471,29,30,303.64,0.746,1
BW-00031,62716.76,771,55739.46,0.517,3,3,50,Education,Retail,Equipment Vendor,0,15,0.162,0.318,0.523,0.107,0.086,0.017,2,5,10452.79,0.298,0
BW-00032,21199.79,712,55118.96,0.545,24,2,85,Business Expansion,Casino,Crypto Exchange,0,21,0.013,0.173,0.168,0.972,0.239,0.039,15,17,1177.77,0.418,0
BW-00033,11179.9,568,99389.03,0.588,13,4,55,Education,Retail,Equipment Vendor,0,15,0.596,0.902,0.26,0.009,0.193,0.315,6,7,1397.49,0.176,0
BW-00034,95144.13,813,34990.2,0.245,19,5,55,Debt Consolidation,Equipment Vendor,Retail,0,8,0.942,1.0,0.017,0.08,0.089,0.078,8,25,3659.39,0.479,0
BW-00035,96735.04,831,48283.21,0.224,12,4,4,Debt Consolidation,Retail,Retail,0,17,0.609,0.899,0.087,0.117,0.225,0.277,14,16,5690.3,0.784,0
BW-00036,81797.75,662,92379.2,0.356,2,5,97,Medical,Casino,Retail,0,12,0.783,0.985,0.212,0.442,0.211,0.573,3,12,6292.13,0.184,0
BW-00037,33938.31,579,39469.49,0.246,17,7,54,Education,Equipment Vendor,Equipment Vendor,0,10,0.673,0.91,0.052,0.002,0.066,0.177,6,17,1885.46,0.334,0
BW-00038,14278.85,684,89513.26,0.504,13,5,61,Debt Consolidation,Equipment Vendor,Crypto Exchange,0,24,0.497,0.801,0.482,0.122,0.066,0.293,11,14,951.92,0.417,0
BW-00039,70002.14,616,101100.94,0.45,14,6,111,Debt Consolidation,Luxury Travel,Crypto Exchange,0,9,0.718,0.961,0.799,0.107,0.324,0.231,9,28,2413.87,0.188,0
BW-00040,46814.49,614,97689.99,0.581,2,6,78,Business Expansion,Equipment Vendor,Casino,0,28,0.824,1.0,0.081,0.062,0.353,0.378,17,23,1950.6,0.748,0
BW-00041,16593.63,841,160376.23,0.146,0,4,83,Medical,Equipment Vendor,Equipment Vendor,0,9,0.225,0.541,0.657,0.141,0.471,0.116,19,38,425.48,0.769,1
BW-00042,52041.81,574,109509.37,0.603,23,1,5,Education,Retail,Casino,0,5,0.336,0.716,0.095,0.115,0.044,0.156,29,47,1084.2,0.811,0
BW-00043,8266.91,586,100197.07,0.261,16,7,100,Equipment Purchase,ATM Cash,ATM Cash,1,15,0.224,0.375,0.536,0.145,0.059,0.515,2,9,826.69,0.596,1
BW-00044,91385.44,550,91606.39,0.37,2,3,95,Education,Equipment Vendor,Casino,0,24,0.452,0.683,0.515,0.139,0.026,0.487,28,30,2947.92,0.531,0
BW-00045,29584.1,586,152643.51,0.341,13,6,109,Education,Crypto Exchange,Casino,0,11,0.885,0.92,0.722,0.871,0.266,0.474,8,22,1286.27,0.323,1
BW-00046,67939.62,690,164258.49,0.518,2,7,18,Business Expansion,ATM Cash,Casino,0,3,0.345,0.489,0.091,0.113,0.311,0.463,25,32,2058.78,0.657,0
BW-00047,34612.55,781,157986.37,0.331,12,6,44,Education,Luxury Travel,Retail,0,4,0.374,0.539,0.252,0.1,0.202,0.276,10,27,1236.16,0.478,0
BW-00048,54406.46,685,131031.99,0.619,14,6,31,Business Expansion,Luxury Travel,ATM Cash,0,1,0.86,1.0,0.073,0.122,0.399,0.437,22,35,1511.29,0.925,1
BW-00049,56937.48,737,50604.26,0.596,17,2,119,Business Expansion,Equipment Vendor,Casino,0,18,0.515,0.72,0.326,0.118,0.343,0.232,3,21,2588.07,0.923,0
BW-00050,22561.17,677,71530.5,0.58,13,4,94,Debt Consolidation,Retail,Crypto Exchange,0,0,0.535,0.827,0.729,0.023,0.493,0.06,10,13,1611.51,0.869,0
BW-00051,97110.54,750,36909.46,0.139,20,4,21,Equipment Purchase,ATM Cash,Casino,1,3,0.861,0.869,0.625,0.035,0.069,0.236,24,26,3596.69,0.406,1
BW-00052,78637.62,676,169623.61,0.57,2,6,47,Business Expansion,Luxury Travel,Retail,0,11,0.491,0.677,0.578,0.04,0.029,0.095,26,34,2246.79,0.413,0
BW-00053,94252.4,806,129119.78,0.53,18,2,30,Medical,Luxury Travel,Luxury Travel,0,1,0.682,1.0,0.426,0.123,0.137,0.235,23,32,2856.13,0.825,0
BW-00054,90008.6,713,141954.43,0.157,7,6,55,Medical,Crypto Exchange,ATM Cash,0,11,0.086,0.176,0.707,0.494,0.01,0.178,2,9,9000.86,0.72,0
BW-00055,61800.5,584,76735.76,0.159,3,3,105,Equipment Purchase,Equipment Vendor,Luxury Travel,0,15,0.179,0.192,0.36,0.074,0.466,0.359,27,46,1314.9,0.699,0
BW-00056,92578.05,743,156848.03,0.156,3,2,68,Business Expansion,ATM Cash,Luxury Travel,0,1,0.404,0.577,0.12,0.087,0.152,0.217,7,8,10286.45,0.338,0
BW-00057,13406.79,740,68940.49,0.106,18,6,69,Equipment Purchase,Luxury Travel,ATM Cash,1,16,0.495,0.777,0.67,0.124,0.276,0.423,1,1,6703.4,0.808,1
BW-00058,23618.37,653,30246.56,0.402,10,5,41,Debt Consolidation,Luxury Travel,Equipment Vendor,0,25,0.966,1.0,0.224,0.047,0.159,0.307,24,27,843.51,0.593,0
BW-00059,9296.59,572,86462.24,0.635,0,1,45,Medical,Luxury Travel,Crypto Exchange,0,27,0.971,1.0,0.043,0.008,0.123,0.552,12,27,332.02,0.48,0
BW-00060,35906.38,814,115614.22,0.341,7,5,74,Education,Luxury Travel,Retail,0,1,0.851,1.0,0.101,0.072,0.076,0.055,5,9,3590.64,0.836,0
BW-00061,41924.34,839,101805.73,0.397,14,1,91,Medical,Retail,ATM Cash,0,3,0.316,0.418,0.487,0.137,0.16,0.413,9,26,1552.75,0.435,0
BW-00062,30778.16,809,159311.42,0.632,0,2,80,Business Expansion,Casino,Luxury Travel,0,5,0.964,1.0,0.486,0.632,0.308,0.403,12,25,1183.78,0.656,0
BW-00063,83730.06,624,45810.79,0.24,6,5,30,Equipment Purchase,Crypto Exchange,Retail,1,28,0.689,0.75,0.208,0.841,0.486,0.57,11,23,3488.75,0.496,1
BW-00064,38891.57,621,113073.52,0.572,20,3,77,Medical,Retail,Retail,0,27,0.393,0.551,0.582,0.01,0.279,0.223,12,27,1388.98,0.604,0
BW-00065,31688.78,808,106946.9,0.401,19,7,100,Education,Crypto Exchange,Equipment Vendor,0,22,0.702,0.964,0.619,0.772,0.266,0.183,3,17,1760.49,0.134,0
BW-00066,56556.13,737,72208.95,0.413,19,5,85,Education,Luxury Travel,Luxury Travel,0,6,0.017,0.348,0.736,0.125,0.018,0.103,12,30,1824.39,0.492,0
BW-00067,18387.8,722,153334.22,0.289,23,4,45,Equipment Purchase,Crypto Exchange,Casino,1,22,0.146,0.463,0.468,0.644,0.42,0.159,23,26,681.03,0.573,1
BW-00068,81208.71,839,142927.3,0.409,10,7,117,Equipment Purchase,Equipment Vendor,Retail,0,14,0.83,1.0,0.624,0.064,0.022,0.301,24,42,1888.57,0.519,0
BW-00069,12082.31,594,139928.88,0.14,13,7,104,Medical,Equipment Vendor,Luxury Travel,0,19,0.646,0.79,0.602,0.019,0.453,0.503,1,13,863.02,0.82,0
BW-00070,98754.26,610,161428.87,0.521,21,1,45,Business Expansion,Casino,Retail,0,11,0.364,0.413,0.206,0.909,0.269,0.171,6,16,5809.07,0.364,0
BW-00071,78363.25,632,138417.69,0.257,15,1,79,Debt Consolidation,Casino,Equipment Vendor,0,4,0.501,0.588,0.248,0.596,0.084,0.095,11,28,2702.18,0.851,0
BW-00072,23877.99,672,64776.19,0.588,13,6,84,Education,Crypto Exchange,Equipment Vendor,0,13,0.905,1.0,0.383,0.809,0.226,0.163,2,12,1836.77,0.443,1
BW-00073,5524.6,565,135834.41,0.302,11,3,84,Equipment Purchase,Retail,Casino,0,15,0.632,0.975,0.015,0.122,0.497,0.061,8,8,613.84,0.69,0
BW-00074,82468.84,615,76155.42,0.179,16,1,45,Debt Consolidation,Retail,Equipment Vendor,0,10,0.398,0.779,0.238,0.147,0.153,0.556,22,36,2228.89,0.174,0
BW-00075,72151.45,694,66326.2,0.483,13,1,55,Debt Consolidation,Luxury Travel,Luxury Travel,0,11,0.12,0.15,0.379,0.099,0.135,0.524,11,20,3435.78,0.27,0
BW-00076,74255.68,711,40950.54,0.191,9,6,59,Debt Consolidation,Retail,ATM Cash,0,18,0.294,0.509,0.086,0.094,0.059,0.185,27,30,2395.34,0.747,0
BW-00077,78270.68,783,141604.29,0.515,23,3,5,Business Expansion,Casino,Equipment Vendor,0,16,0.978,1.0,0.101,0.96,0.299,0.148,12,17,4348.37,0.11,1
BW-00078,12034.24,693,136650.14,0.632,13,5,118,Equipment Purchase,Retail,ATM Cash,0,29,0.437,0.721,0.371,0.003,0.045,0.543,19,20,573.06,0.923,0
BW-00079,39054.24,737,65174.92,0.529,17,2,118,Education,Luxury Travel,Casino,0,23,0.472,0.73,0.585,0.029,0.383,0.001,20,36,1055.52,0.262,0
BW-00080,16007.56,562,142406.85,0.112,21,5,32,Equipment Purchase,Equipment Vendor,Crypto Exchange,0,25,0.499,0.807,0.667,0.088,0.46,0.36,23,34,457.36,0.866,0
BW-00081,86994.83,733,167676.13,0.43,8,4,6,Medical,Retail,Retail,0,26,0.884,1.0,0.437,0.023,0.466,0.55,9,13,6213.92,0.539,0
BW-00082,64213.32,660,46204.34,0.482,16,4,94,Education,Retail,Retail,0,6,0.604,0.676,0.38,0.133,0.054,0.305,11,29,2140.44,0.58,0
BW-00083,36435.31,839,64895.5,0.554,5,1,26,Equipment Purchase,Casino,Luxury Travel,1,29,0.694,0.776,0.307,0.57,0.279,0.002,26,31,1138.6,0.172,1
BW-00084,11038.04,844,142539.12,0.131,7,7,37,Education,Crypto Exchange,Casino,0,8,0.389,0.394,0.154,0.76,0.049,0.131,18,34,315.37,0.41,0
BW-00085,34543.32,764,71176.0,0.364,12,4,13,Medical,Equipment Vendor,Casino,0,13,0.029,0.169,0.117,0.077,0.286,0.553,9,27,1233.69,0.233,0
BW-00086,35892.42,669,123699.6,0.394,17,2,93,Education,Crypto Exchange,Casino,0,25,0.931,0.968,0.634,0.404,0.407,0.01,15,34,1025.5,0.547,0
BW-00087,74312.59,604,42174.63,0.193,4,1,69,Debt Consolidation,Luxury Travel,Retail,0,19,0.949,1.0,0.372,0.049,0.269,0.237,22,24,2972.5,0.568,0
BW-00088,65567.96,576,97830.37,0.277,5,6,25,Business Expansion,Luxury Travel,Equipment Vendor,0,11,0.949,1.0,0.632,0.131,0.436,0.474,18,25,2521.84,0.703,1
BW-00089,89285.21,667,140863.71,0.342,20,4,13,Medical,Crypto Exchange,Retail,0,14,0.944,1.0,0.563,0.706,0.401,0.503,8,12,6868.09,0.847,0
BW-00090,49860.42,770,132977.09,0.558,18,7,88,Education,Casino,Retail,0,11,0.815,1.0,0.155,0.602,0.138,0.287,4,8,5540.05,0.498,0
BW-00091,16361.45,780,152260.82,0.611,3,6,95,Medical,ATM Cash,Retail,0,20,0.685,0.786,0.408,0.095,0.315,0.139,27,43,371.85,0.298,0
BW-00092,72758.25,602,161617.82,0.446,6,0,20,Debt Consolidation,Casino,Equipment Vendor,0,20,0.845,0.899,0.355,0.686,0.004,0.36,13,31,2273.7,0.384,0
BW-00093,77274.58,844,145977.53,0.317,3,0,119,Business Expansion,ATM Cash,Crypto Exchange,0,28,0.601,0.678,0.339,0.093,0.198,0.158,15,33,2272.78,0.82,0
BW-00094,58321.33,782,130738.16,0.24,24,0,72,Medical,ATM Cash,Luxury Travel,0,22,0.134,0.522,0.434,0.083,0.119,0.153,8,17,3240.07,0.224,0
BW-00095,78241.88,707,34758.37,0.64,10,6,60,Debt Consolidation,Casino,Crypto Exchange,0,12,0.391,0.611,0.786,0.509,0.469,0.485,16,18,4117.99,0.633,0
BW-00096,51910.58,818,110245.0,0.641,11,0,73,Debt Consolidation,ATM Cash,Crypto Exchange,0,8,0.971,1.0,0.65,0.132,0.203,0.093,11,23,2162.94,0.111,0
BW-00097,54659.62,570,35654.66,0.609,13,5,21,Debt Consolidation,ATM Cash,Retail,0,23,0.351,0.687,0.723,0.023,0.327,0.003,23,38,1401.53,0.309,0
BW-00098,45616.4,602,151210.17,0.532,12,0,115,Education,ATM Cash,Crypto Exchange,0,6,0.868,1.0,0.024,0.012,0.366,0.202,23,34,1303.33,0.603,0
BW-00099,7414.82,824,78108.68,0.279,9,1,61,Equipment Purchase,Equipment Vendor,Retail,0,29,0.093,0.453,0.112,0.044,0.387,0.295,27,43,168.52,0.488,0
BW-00100,15249.69,830,114364.41,0.549,17,3,84,Medical,Luxury Travel,Retail,0,0,0.334,0.438,0.068,0.148,0.368,0.423,13,14,1016.65,0.52,0
BW-00101,7985.77,763,71916.8,0.325,15,5,79,Equipment Purchase,ATM Cash,Luxury Travel,1,27,0.351,0.508,0.211,0.003,0.145,0.469,7,22,347.21,0.661,0
BW-00102,65458.99,580,147375.02,0.28,4,7,26,Debt Consolidation,Luxury Travel,Casino,0,9,0.052,0.254,0.354,0.101,0.343,0.398,18,28,2257.21,0.299,0
BW-00103,34863.82,732,162975.38,0.51,7,3,54,Equipment Purchase,Luxury Travel,Retail,1,28,0.119,0.476,0.514,0.091,0.275,0.376,8,8,3873.76,0.339,0
BW-00104,53314.22,572,89796.37,0.144,13,1,42,Debt Consolidation,Equipment Vendor,Crypto Exchange,0,5,0.193,0.541,0.401,0.097,0.299,0.399,2,13,3808.16,0.682,0
BW-00105,91218.82,581,159438.36,0.127,4,7,11,Debt Consolidation,Luxury Travel,Luxury Travel,0,25,0.838,1.0,0.723,0.033,0.0,0.163,3,8,10135.42,0.558,0
BW-00106,28682.76,623,70061.25,0.346,23,1,37,Business Expansion,Crypto Exchange,ATM Cash,0,14,0.063,0.152,0.752,0.949,0.129,0.229,10,28,989.06,0.112,1
BW-00107,43986.38,559,110199.14,0.345,7,2,105,Business Expansion,Retail,ATM Cash,0,14,0.299,0.46,0.131,0.065,0.465,0.37,7,11,3665.53,0.67,0
BW-00108,76777.36,603,158814.21,0.593,24,7,11,Equipment Purchase,Equipment Vendor,ATM Cash,0,8,0.01,0.4,0.682,0.014,0.145,0.039,23,25,2952.98,0.627,0
BW-00109,26735.83,601,78882.2,0.169,5,5,27,Medical,Retail,Crypto Exchange,0,12,0.696,0.939,0.385,0.011,0.219,0.177,28,45,581.21,0.167,0
BW-00110,12313.09,697,173106.34,0.168,15,3,94,Equipment Purchase,Crypto Exchange,Casino,1,22,0.62,0.932,0.363,0.585,0.093,0.244,7,24,492.52,0.735,1
BW-00111,32526.39,709,48281.93,0.181,3,0,83,Medical,Casino,Equipment Vendor,0,0,0.645,0.825,0.628,0.67,0.069,0.32,4,15,2032.9,0.544,0
BW-00112,20316.02,563,32741.26,0.116,11,1,34,Equipment Purchase,Casino,Casino,1,8,0.374,0.587,0.075,0.571,0.104,0.292,21,38,520.92,0.274,0
BW-00113,93321.28,727,165620.3,0.139,10,0,38,Education,ATM Cash,Luxury Travel,0,2,0.208,0.38,0.706,0.044,0.277,0.431,23,32,2827.92,0.575,0
BW-00114,81771.44,602,40297.3,0.463,2,7,61,Education,Casino,Casino,0,29,0.72,1.0,0.537,0.691,0.46,0.284,8,11,6814.29,0.606,0
BW-00115,65173.36,571,178783.38,0.337,11,3,87,Medical,Equipment Vendor,ATM Cash,0,8,0.811,1.0,0.7,0.031,0.163,0.542,19,38,1671.11,0.882,0
BW-00116,87788.76,579,172709.53,0.52,4,6,53,Business Expansion,Casino,Casino,0,19,0.139,0.342,0.796,0.463,0.162,0.228,22,40,2141.19,0.731,0
BW-00117,81348.85,740,50553.14,0.646,5,5,65,Medical,Equipment Vendor,Luxury Travel,0,24,0.487,0.679,0.414,0.03,0.282,0.315,12,15,5084.3,0.357,0
BW-00118,22724.16,809,110637.69,0.462,18,4,3,Equipment Purchase,Equipment Vendor,Luxury Travel,0,28,0.249,0.385,0.075,0.105,0.178,0.002,25,35,631.23,0.2,0
BW-00119,89793.1,754,57738.04,0.128,17,6,67,Debt Consolidation,Retail,ATM Cash,0,14,0.168,0.239,0.133,0.019,0.455,0.186,10,12,6907.16,0.825,0
BW-00120,56237.51,608,94223.28,0.158,15,7,28,Education,Casino,Crypto Exchange,0,23,0.734,1.0,0.259,0.7,0.189,0.52,14,28,1939.22,0.819,0
BW-00121,81706.81,813,39213.77,0.585,22,7,14,Debt Consolidation,Luxury Travel,Retail,0,6,0.538,0.664,0.083,0.013,0.245,0.2,27,42,1900.16,0.249,0
BW-00122,90128.67,561,63588.69,0.39,10,6,52,Education,Casino,Equipment Vendor,0,3,0.216,0.536,0.652,0.567,0.267,0.152,12,23,3755.36,0.153,0
BW-00123,35210.33,668,84490.92,0.554,4,4,30,Equipment Purchase,Casino,Equipment Vendor,1,24,0.31,0.596,0.237,0.566,0.391,0.326,21,38,902.83,0.705,1
BW-00124,15454.93,839,95797.13,0.571,8,7,58,Education,Casino,ATM Cash,0,19,0.967,1.0,0.781,0.9,0.282,0.047,20,25,594.42,0.714,1
BW-00125,26653.84,797,176624.44,0.61,2,7,54,Medical,ATM Cash,Equipment Vendor,0,16,0.849,1.0,0.562,0.137,0.12,0.319,25,39,666.35,0.251,0
BW-00126,45575.24,676,151179.85,0.622,7,1,69,Debt Consolidation,Luxury Travel,Casino,0,21,0.88,1.0,0.139,0.021,0.062,0.182,4,5,7595.87,0.668,0
BW-00127,82711.4,624,140611.49,0.405,5,2,113,Debt Consolidation,Luxury Travel,Luxury Travel,0,3,0.46,0.819,0.381,0.026,0.469,0.23,19,30,2668.11,0.337,0
BW-00128,86769.41,753,110556.2,0.288,3,7,15,Equipment Purchase,Equipment Vendor,Luxury Travel,0,25,0.624,0.691,0.374,0.038,0.401,0.475,29,38,2224.86,0.322,0
BW-00129,5660.45,598,155999.66,0.629,11,0,38,Debt Consolidation,Luxury Travel,ATM Cash,0,18,0.377,0.628,0.394,0.037,0.011,0.397,7,10,514.59,0.376,0
BW-00130,53520.99,628,80898.43,0.401,11,1,78,Equipment Purchase,Equipment Vendor,Luxury Travel,0,27,0.078,0.387,0.429,0.047,0.411,0.268,21,28,1845.55,0.542,0
BW-00131,44654.05,790,136334.87,0.135,24,2,14,Business Expansion,Retail,Retail,0,4,0.401,0.51,0.025,0.086,0.295,0.347,1,15,2790.88,0.784,0
BW-00132,26100.24,703,179067.6,0.454,20,0,57,Medical,Equipment Vendor,Luxury Travel,0,15,0.594,0.89,0.549,0.004,0.259,0.46,8,26,966.68,0.524,0
BW-00133,16387.21,823,77194.34,0.423,15,3,59,Education,Casino,Luxury Travel,0,2,0.287,0.598,0.39,0.992,0.006,0.447,11,26,606.93,0.353,0
BW-00134,37073.44,645,131102.63,0.593,9,6,113,Education,Crypto Exchange,Casino,0,10,0.848,1.0,0.633,0.541,0.39,0.111,1,13,2648.1,0.851,1
BW-00135,94576.42,763,156647.23,0.459,21,6,8,Education,Crypto Exchange,Crypto Exchange,0,24,0.151,0.276,0.652,0.802,0.099,0.181,25,39,2364.41,0.147,1
BW-00136,35704.28,843,167371.14,0.292,13,4,72,Business Expansion,ATM Cash,Equipment Vendor,0,27,0.367,0.64,0.184,0.148,0.364,0.209,1,14,2380.29,0.778,0
BW-00137,54285.11,758,137689.9,0.631,12,2,19,Medical,Casino,Casino,0,21,0.125,0.247,0.039,0.54,0.008,0.113,4,18,2857.11,0.767,0
BW-00138,71786.8,637,72541.19,0.541,8,0,32,Debt Consolidation,Equipment Vendor,Casino,0,14,0.405,0.701,0.563,0.064,0.398,0.007,26,37,1889.13,0.316,0
BW-00139,39544.81,813,78942.32,0.447,6,7,95,Debt Consolidation,Casino,Casino,0,18,0.04,0.225,0.782,0.407,0.012,0.104,4,14,2636.32,0.269,0
BW-00140,97319.3,706,33113.7,0.261,11,1,29,Medical,ATM Cash,Equipment Vendor,0,20,0.273,0.512,0.357,0.118,0.118,0.485,11,13,6951.38,0.843,0
BW-00141,96432.49,705,144132.9,0.305,4,0,41,Medical,Luxury Travel,ATM Cash,0,23,0.401,0.567,0.208,0.011,0.134,0.328,25,38,2472.63,0.575,0
BW-00142,28919.32,688,36410.94,0.468,17,1,75,Education,Equipment Vendor,Casino,0,13,0.478,0.543,0.125,0.144,0.079,0.205,1,2,9639.77,0.139,0
BW-00143,52238.61,670,159697.85,0.14,3,6,45,Debt Consolidation,Casino,Crypto Exchange,0,15,0.544,0.615,0.23,0.477,0.241,0.365,10,27,1865.66,0.857,0
BW-00144,33583.44,614,47799.09,0.241,1,4,13,Medical,Luxury Travel,ATM Cash,0,23,0.275,0.306,0.262,0.047,0.142,0.444,29,31,1049.48,0.397,0
BW-00145,32059.85,656,55781.48,0.493,2,7,27,Debt Consolidation,ATM Cash,Luxury Travel,0,5,0.523,0.77,0.339,0.146,0.497,0.213,25,33,942.94,0.391,0
BW-00146,8504.26,696,101478.97,0.364,11,4,19,Medical,Luxury Travel,Crypto Exchange,0,4,0.509,0.848,0.524,0.14,0.29,0.28,4,14,566.95,0.647,0
BW-00147,62908.61,686,140682.06,0.321,2,0,26,Equipment Purchase,Equipment Vendor,ATM Cash,0,20,0.316,0.324,0.219,0.096,0.283,0.039,23,25,2419.56,0.662,0
BW-00148,52754.51,711,50850.33,0.183,3,0,53,Education,ATM Cash,Luxury Travel,0,16,0.83,0.856,0.041,0.003,0.11,0.358,25,29,1758.48,0.4,0
BW-00149,9890.48,649,96010.66,0.343,5,1,51,Medical,ATM Cash,Luxury Travel,0,15,0.546,0.729,0.299,0.112,0.204,0.214,27,35,274.74,0.222,0
BW-00150,31471.41,690,102427.69,0.524,11,1,37,Business Expansion,ATM Cash,Casino,0,1,0.332,0.627,0.685,0.05,0.062,0.26,7,16,1851.26,0.569,0
